Country;ISO3166_alpha3;pop;Years
Brunei;BRN;0.251456;1989
Brunei;BRN;0.258714;1990
Brunei;BRN;0.266208;1991
Brunei;BRN;0.273888;1992
Brunei;BRN;0.281684;1993
Brunei;BRN;0.289452;1994
Brunei;BRN;0.297112;1995
Brunei;BRN;0.30462;1996
Brunei;BRN;0.311962;1997
Brunei;BRN;0.319135;1998
Brunei;BRN;0.326214;1999
Brunei;BRN;0.333166;2000
Brunei;BRN;0.340037;2001
Brunei;BRN;0.346777;2002
Brunei;BRN;0.353295;2003
Brunei;BRN;0.359434;2004
Brunei;BRN;0.365112;2005
Brunei;BRN;0.370262;2006
Brunei;BRN;0.374967;2007
Brunei;BRN;0.379418;2008
Brunei;BRN;0.383902;2009
Brunei;BRN;0.388634;2010
Brunei;BRN;0.393687;2011
Brunei;BRN;0.398997;2012
Brunei;BRN;0.404414;2013
Brunei;BRN;0.409778;2014
Brunei;BRN;0.414914;2015
Brunei;BRN;0.419791;2016
Brunei;BRN;0.424481;2017
Brunei;BRN;0.42896;2018
Brunei;BRN;0.433296;2019
Bulgaria;BGR;8.222588;1965
Bulgaria;BGR;8.284449;1966
Bulgaria;BGR;8.343494;1967
Bulgaria;BGR;8.400012;1968
Bulgaria;BGR;8.454584;1969
Bulgaria;BGR;8.507541;1970
Bulgaria;BGR;8.559035;1971
Bulgaria;BGR;8.60866;1972
Bulgaria;BGR;8.655707;1973
Bulgaria;BGR;8.699174;1974
Bulgaria;BGR;8.738386;1975
Bulgaria;BGR;8.772556;1976
Bulgaria;BGR;8.801899;1977
Bulgaria;BGR;8.82803;1978
Bulgaria;BGR;8.853207;1979
Bulgaria;BGR;8.878787;1980
Bulgaria;BGR;8.905097;1981
Bulgaria;BGR;8.930708;1982
Bulgaria;BGR;8.953122;1983
Bulgaria;BGR;8.968909;1984
Bulgaria;BGR;8.975353;1985
Bulgaria;BGR;8.972555;1986
Bulgaria;BGR;8.960554;1987
Bulgaria;BGR;8.936652;1988
Bulgaria;BGR;8.897541;1989
Bulgaria;BGR;8.841466;1990
